Experiment,Nodes,Algorithm,Avg_Throughput,Avg_PDR
Scalability,10,BEB,0.39804,0.0797458047168094
Scalability,10,RL,0.14316,0.028750211244249573
Scalability,50,BEB,0.37738000000000005,0.015113235707192793
Scalability,50,RL,0.32134000000000007,0.012856658366545698
Scalability,100,BEB,0.35336,0.007069044708959809
Scalability,100,RL,0.36479999999999996,0.0072986980010600515
Scalability,200,BEB,0.31327999999999995,0.0031327772119631877
Scalability,200,RL,0.3258,0.0032582287759576655
